Index,AI0(V)
1413,-0.1266
1414,-0.12742
1415,-0.12231
1416,-0.12597
1417,-0.12578
1418,-0.13115
1419,-0.12881
1420,-0.12692
1421,-0.12919
1422,-0.12484
1423,-0.1297
1424,-0.12572
1425,-0.12679
1426,-0.12465
1427,-0.12465
1428,-0.12799
1429,-0.13279
1430,-0.12818
1431,-0.12168
1432,-0.1249
1433,-0.12553
1434,-0.12642
1435,-0.12395
1436,-0.12944
1437,-0.12484
1438,-0.12377
1439,-0.12509
1440,-0.1225
1441,-0.12888
1442,-0.12761
1443,-0.12843
1444,-0.1266
1445,-0.12692
1446,-0.12471
1447,-0.12913
1448,-0.12894
1449,-0.12799
1450,-0.1225
1451,-0.12616
1452,-0.12711
1453,-0.12566
1454,-0.1261
1455,-0.12635
1456,-0.12717
1457,-0.12534
1458,-0.12724
1459,-0.12616
1460,-0.12799
1461,-0.12667
1462,-0.12787
1463,-0.12742
1464,-0.12503
1465,-0.1266
1466,-0.12257
1467,-0.12711
1468,-0.1237
1469,-0.12629
1470,-0.11563
1471,-0.12717
1472,-0.12629
1473,-0.12692
1474,-0.12806
1475,-0.12566
1476,-0.12673
1477,-0.12307
1478,-0.12496
1479,-0.12257
1480,-0.12358
1481,-0.12534
1482,-0.12705
1483,-0.129
1484,-0.12522
1485,-0.1232
1486,-0.12496
1487,-0.1256
1488,-0.12799
1489,-0.12572
1490,-0.12837
1491,-0.12616
1492,-0.12566
1493,-0.12427
1494,-0.12238
1495,-0.12553
1496,-0.12553
1497,-0.12963
1498,-0.12522
1499,-0.12433
1500,-0.12799
1501,-0.1244
1502,-0.1232
1503,-0.12806
1504,-0.12541
1505,-0.12478
1506,-0.12452
1507,-0.12585
1508,-0.1203
1509,-0.1266
1510,-0.12768
1511,-0.13153
1512,-0.12503
1513,-0.12168
1514,-0.1237
1515,-0.12698
1516,-0.12692
1517,-0.12257
1518,-0.12566
1519,-0.12591
1520,-0.12793
1521,-0.1244
1522,-0.12755
1523,-0.13361
1524,-0.12635
1525,-0.12585
1526,-0.12724
1527,-0.12888
1528,-0.12295
1529,-0.13216
1530,-0.12515
1531,-0.12761
1532,-0.12042
1533,-0.12837
1534,-0.12686
1535,-0.12616
1536,-0.12295
1537,-0.13134
1538,-0.12635
1539,-0.12421
1540,-0.12623
1541,-0.12698
1542,-0.12635
1543,-0.12623
1544,-0.12881
1545,-0.12515
1546,-0.12288
1547,-0.129
1548,-0.13153
1549,-0.12118
1550,-0.12534
1551,-0.12433
1552,-0.12522
1553,-0.12528
1554,-0.13108
1555,-0.12698
1556,-0.12257
1557,-0.12578
1558,-0.12799
1559,-0.12093
1560,-0.12478
1561,-0.1249
1562,-0.12578
1563,-0.12509
1564,-0.12124
1565,-0.12383
1566,-0.12711
1567,-0.13052
1568,-0.12888
1569,-0.1232
1570,-0.12194
1571,-0.12698
1572,-0.12724
1573,-0.12509
1574,-0.12736
1575,-0.13228
1576,-0.12572
1577,-0.12749
1578,-0.1278
1579,-0.12787
1580,-0.12831
1581,-0.12761
1582,-0.12894
1583,-0.13102
1584,-0.12925
1585,-0.12913
1586,-0.12219
1587,-0.1244
1588,-0.12629
1589,-0.13052
1590,-0.12522
1591,-0.12566
1592,-0.12818
1593,-0.12932
1594,-0.12534
1595,-0.12869
1596,-0.12414
1597,-0.129
1598,-0.12742
1599,-0.12698
1600,-0.12433
1601,-0.12616
1602,-0.12698
1603,-0.12597
1604,-0.12957
1605,-0.12528
1606,-0.12976
1607,-0.12944
1608,-0.12433
1609,-0.12642
1610,-0.12856
1611,-0.12496
1612,-0.12295
1613,-0.12301
1614,-0.12364
1615,-0.1273
1616,-0.12143
1617,-0.12957
1618,-0.1326
1619,-0.12705
1620,-0.12358
1621,-0.12206
1622,-0.1278
1623,-0.12522
1624,-0.12888
1625,-0.12635
1626,-0.12629
1627,-0.1285
1628,-0.12736
1629,-0.12421
1630,-0.12642
1631,-0.12503
1632,-0.12976
1633,-0.12698
1634,-0.12875
1635,-0.12358
1636,-0.12496
1637,-0.12881
1638,-0.12875
1639,-0.13064
1640,-0.12528
1641,-0.12553
1642,-0.1261
1643,-0.12541
1644,-0.1225
1645,-0.12629
1646,-0.12496
1647,-0.12724
1648,-0.12515
1649,-0.12295
1650,-0.12231
1651,-0.12282
1652,-0.12522
1653,-0.12345
1654,-0.12351
1655,-0.12263
1656,-0.12534
1657,-0.12843
1658,-0.1208
1659,-0.12749
